"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"MSA","BAL","BAL","BAL","BOS","BOS","BOS","LAX","LAX","LAX","MIA","MIA","MIA","MSP","MSP","MSP","PHX","PHX","PHX"
"Affluence_fct","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low"
"Tree_Min","    0.00000"," 6434.18208","12332.00448"," 2649.24431","16229.62834","12319.89334","    0.00000","    0.00000","  728.00000","17897.00000"," 8404.34874"," 4329.05880","   33.80041","    0.00000"," 5413.84680","    0.00000","    0.00000","    0.00000"
"Tree_Max"," 35856862"," 39205317","  3710549"," 68299437"," 55601598"," 11673888"," 50087384"," 19867367","  1462380","195666915"," 32325643","356567091"," 49819920"," 31438854","  1432198","  5129300","  2784870","  1204076"
"Tree_Mean","3084371.42","1360641.34"," 291540.33","2403649.04","2175475.88"," 624222.74"," 471131.57"," 331225.10","  63050.54","1616892.10"," 644122.74","2424306.07","2289113.40","1391338.26"," 255268.92"," 235790.25"," 149615.42"," 106040.86"
"Tree_Median","1094829.06"," 358733.13"," 106425.79"," 448691.14"," 618276.82","  61065.59","  60390.23","  61536.50","  20770.26"," 262975.60"," 215268.62","  59800.57"," 410693.48"," 216273.11","  94675.64","  91056.00","  75881.59","  47387.62"
"Tree_SD"," 4824222.7"," 3379152.6","  674313.5"," 5532227.7"," 5146678.4"," 1744011.1"," 2824757.9"," 1663182.4","  187762.6","11628299.7"," 2227152.4","28725054.9"," 5144885.7"," 3996780.1","  373333.3","  530929.9","  237502.8","  168950.4"
"Tree_IQR","3461232.76"," 929781.01"," 160827.42","2170731.49","1497378.42"," 392584.61"," 130635.41"," 137427.66","  44919.02"," 605250.19"," 301837.81","  61173.69","2205674.06"," 468450.00"," 195308.14"," 171337.11"," 132166.22"," 112119.63"
"Grass_Min","    0.00000"," 1938.80164"," 8888.00000","  189.00000"," 7279.67388"," 2481.00000"," 8224.02518","18169.80995","20048.00000","18294.39176","18154.22555","12095.41072","  142.30988","   62.17715","31901.61672","    0.00000","    0.00000","    0.00000"
"Grass_Max","  97860375","  52302938","   1308984","  13191042","   8580371","   7658907"," 324507239"," 230166884","  53146835","1516201887"," 166444504"," 159581462"," 192945791"," 100585838","   1729126","  13862748","  22235825","  11086732"
"Grass_Mean","2967574.2","1732431.5"," 163001.6"," 682393.5"," 569282.2"," 304711.5","2286750.5","2640069.5","1639295.7","7675666.1","1434193.4","1221971.3","7308167.7","4907466.2"," 456987.8"," 605470.7"," 563881.5"," 558272.0"
"Grass_Median","519233.50","233733.00"," 81586.89","184165.40","246859.79"," 30164.91","230047.43","246018.19","115528.85","376370.24","356033.15"," 96227.88","805876.92","387918.28","243482.24"," 77358.00"," 71597.96"," 47703.21"
"Grass_SD"," 7632605.6"," 6268682.5","  263045.0"," 1380286.3","  991842.1"," 1075765.1","14295235.7","16731420.1"," 8295509.2","89181439.2"," 9397338.5","12848041.7","17860811.1","14636281.1","  538398.4"," 1968158.0"," 2055494.8"," 1915934.1"
"Grass_IQR","2234407.3"," 464673.8"," 104000.8"," 646057.3"," 510289.0"," 167966.3"," 393268.1"," 407013.4"," 146196.3","1068454.1"," 616103.9"," 140330.1","5697466.9"," 923707.1"," 311210.4"," 155987.8"," 179539.4"," 170938.5"
"Perc_Tree_Min","0.000000e+00","1.718159e-02","6.606866e+00","4.641772e+00","6.315091e+00","1.051876e+01","0.000000e+00","0.000000e+00","3.718909e-01","2.590587e+00","2.097941e+00","1.902990e+00","3.839906e-04","0.000000e+00","2.741736e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"Perc_Tree_Max","87.66375","81.96642","69.78195","89.60393","90.21619","70.29690","40.51577","29.43089","19.91523","73.54382","54.58324","41.52681","56.60949","56.69117","33.52674","27.84917","27.37495","24.03437"
"Perc_Tree_Mean","47.141225","38.663390","33.047196","49.616395","49.517306","32.371056","10.431891"," 8.975326"," 6.832675","20.127743","18.932205","14.830151","23.193714","21.929208","16.837140","10.595786"," 8.746999"," 7.767621"
"Perc_Tree_Median","47.011658","37.938841","29.437108","51.299431","49.776419","27.242863"," 9.030385"," 8.169367"," 6.117013","17.519897","17.565806","13.478067","22.578751","21.501869","16.548025"," 9.914537"," 8.166674"," 7.368751"
"Perc_Tree_SD","15.256282","13.711256","13.146205","18.102195","15.582728","15.802452"," 7.511785"," 6.060771"," 4.955600","11.364089"," 9.468213"," 7.524754"," 9.245520","10.237713"," 7.839521"," 6.557057"," 5.549302"," 4.533065"
"Perc_Tree_IQR","22.347817","17.393086","13.543262","30.165585","21.286519","23.121360"," 9.928687"," 8.225912"," 7.236673","14.486866","13.573486","10.040079","11.278251","13.570402"," 9.350783","10.348089"," 8.114526"," 6.074967"
"Perc_Grass_Min"," 0.000000000"," 0.005177299"," 4.761742434"," 0.620428198"," 5.330128812"," 2.198854858"," 4.855612616"," 7.841905859","14.674487032"," 5.829220747"," 6.557469147"," 6.728986860"," 0.001616716"," 0.010381918","18.655705079"," 0.000000000"," 0.000000000"," 0.000000000"
"Perc_Grass_Max","74.81924","77.87613","32.14014","56.89865","73.48864","32.65257","86.44298","90.16731","87.19097","68.43269","72.90011","55.79482","90.22484","87.30984","56.39621","57.97238","62.41474","57.37899"
"Perc_Grass_Mean","30.26692","28.75497","22.20543","18.41503","18.86399","15.15931","40.71750","39.06147","39.33561","32.49983","30.60938","23.83775","45.83564","42.73965","34.74660","10.98253","11.21264","11.80443"
"Perc_Grass_Median","26.656473","26.906219","23.052754","17.200323","17.718480","14.692913","40.214546","37.577221","37.499927","30.471146","29.452973","22.330216","44.662056","39.006811","33.486611"," 9.786469"," 8.998552"," 8.734321"
"Perc_Grass_SD","14.339146","12.375701"," 5.860833"," 7.230140"," 7.787567"," 7.225410","12.012279","12.562233","15.278386","13.760653","10.526398"," 9.620591","14.818446","14.490975"," 9.297150"," 7.698765"," 8.751594","10.669558"
"Perc_Grass_IQR","15.247946"," 9.961801"," 6.905123"," 8.406811"," 7.965355","11.199017","15.531303","16.445114","14.852393","18.246362","13.822968","13.274898","21.996312","17.386230"," 7.717525"," 7.769327"," 7.336381"," 9.952064"
"NP_T_Min"," 0","70","62","16","51","47"," 0"," 0"," 3","70","47","32"," 9"," 0","43"," 0"," 0"," 0"
"NP_T_Max","  6581","  7615","   823","  8620","  4025","  3195"," 45935"," 27673","  2821","184197"," 36482","185318"," 49722"," 34484","  1853","251113"," 83189","123975"
"NP_T_Mean"," 1295.0191","  826.0817","  287.8333","  584.0535","  549.6620","  279.0192","  524.6677","  544.2045","  153.7188"," 2012.2345","  976.9240"," 1460.2078"," 2924.1565"," 1750.2005","  580.1905","11243.2097"," 7262.5257"," 7102.9833"
"NP_T_Median"," 778.0"," 550.0"," 210.0"," 284.0"," 360.0"," 138.5"," 145.0"," 159.0","  63.5"," 538.5"," 435.0"," 195.0","1008.5"," 664.0"," 407.0","4039.0","3767.0","2744.0"
"NP_T_SD"," 1367.5000","  941.6560","  207.6493","  781.9228","  547.2796","  486.1333"," 2304.7685"," 2238.4534","  375.1845","11072.6436"," 2485.1154","14914.7021"," 4879.4936"," 3563.9646","  454.7855","29235.5977","10930.5364","16824.6334"
"NP_T_IQR","1555.00"," 659.00"," 283.75"," 510.50"," 476.00"," 205.25"," 192.00"," 224.00"," 106.50"," 896.00"," 529.00"," 138.50","3143.00"," 799.50"," 472.00","6381.00","5843.75","4884.00"
"MPA_T_Min","0.0000000000","0.0048750817","0.0071697700","0.0117186057","0.0145099923","0.0160396020","0.0000000000","0.0000000000","0.0152163637","0.0090336650","0.0093858614","0.0098872340","0.0003755601","0.0000000000","0.0121686028","0.0000000000","0.0000000000","0.0000000000"
"MPA_T_Max","2.650809646","1.159910686","0.606298855","3.602290978","5.177057576","0.978589107","0.287617947","0.115717188","0.074456583","0.703747613","0.345771275","0.259414386","0.220299370","0.416463824","0.098496936","0.008001406","0.056706772","0.161341618"
"MPA_T_Mean","0.206636358","0.120079991","0.082258158","0.257456640","0.272974855","0.123347424","0.049006934","0.040348668","0.030844103","0.063303386","0.055465542","0.038621315","0.049335549","0.044238557","0.031342462","0.002579103","0.002782348","0.005144677"
"MPA_T_Median","0.147535123","0.067067185","0.060416653","0.157091446","0.158662819","0.050163543","0.039231251","0.034986368","0.027859833","0.043592213","0.043726927","0.030702148","0.036676901","0.031941964","0.021834222","0.002440394","0.002121442","0.001809200"
"MPA_T_SD","0.212294997","0.153689842","0.114331329","0.300617966","0.446503179","0.175266516","0.032672695","0.020784415","0.011782632","0.070032098","0.042010945","0.032043564","0.035598446","0.039081363","0.022712216","0.001372190","0.004592002","0.020777486"
"MPA_T_IQR","0.205991718","0.086375283","0.044981409","0.287617101","0.200723749","0.102334358","0.030935022","0.021316945","0.015162113","0.039698240","0.036269098","0.023353504","0.044936343","0.035230976","0.012937679","0.001624756","0.001456513","0.001134378"
"CV_T_Min","  0.00000","151.64880","102.18222","110.22895","166.67883","116.68971","  0.00000","  0.00000"," 19.50720"," 97.49533"," 91.26977"," 99.38228"," 59.80990","  0.00000","118.25313","  0.00000","  0.00000","  0.00000"
"CV_T_Max","6353.7108","3862.9746","2258.9841","7471.9601","4659.2533","2657.1958","2117.7688","1035.8800"," 434.0241","4993.3336","4028.1565","4215.9340","3076.4838","3847.4642","1298.8022","1433.8727","1898.6521","2329.8955"
"CV_T_Mean","1689.4209","1086.7203"," 574.1985","1283.6988","1201.6169"," 567.5338"," 206.7856"," 163.3130"," 117.8963"," 493.3378"," 480.6267"," 256.5485"," 675.5849"," 526.6130"," 365.4542"," 341.7983"," 357.4603"," 337.7548"
"CV_T_Median","1445.25892"," 887.97329"," 415.69154"," 939.72526","1072.67500"," 298.74058"," 149.54960"," 126.75374","  94.77235"," 302.82948"," 310.09741"," 181.29325"," 523.56842"," 343.76000"," 220.34514"," 322.81127"," 304.06668"," 276.34146"
"CV_T_SD","1178.82144"," 771.10351"," 441.92628","1101.76546"," 862.10678"," 570.45803"," 183.91383"," 127.55125","  77.44595"," 533.03854"," 497.10215"," 361.84907"," 532.18182"," 478.86468"," 322.34861"," 194.22861"," 242.00045"," 298.95720"
"CV_T_IQR","1507.25986"," 959.23931"," 428.54982","1456.34065"," 990.56114"," 435.17583"," 154.54512"," 113.58642","  76.42062"," 413.34189"," 384.41484","  80.57923"," 782.80460"," 487.42256"," 237.17782"," 211.07811"," 201.53607"," 135.69187"
"PAratio_T_Min","   0.000","5374.928","5636.490","4650.186","4766.714","5124.750","   0.000","   0.000","3925.885","4357.481","4269.894","4308.383","6437.566","5841.964","6811.228","   0.000","   0.000","   0.000"
"PAratio_T_Max"," 52909.388"," 34130.872"," 12130.003"," 19511.989"," 19010.395"," 10108.110"," 16783.355","  7589.012","  5790.286","  7603.062","  6784.050","  6757.552"," 64038.283","160584.487","  9285.891","649711.622","249655.164"," 68192.773"
"PAratio_T_Mean"," 8564.714"," 8559.573"," 7894.058"," 7682.162"," 7375.721"," 6757.463"," 4730.172"," 4655.624"," 4696.019"," 5314.443"," 5263.741"," 5303.623"," 8729.047"," 8639.000"," 8120.096","29119.834","27130.611","24814.989"
"PAratio_T_Median"," 8196.403"," 8349.239"," 7525.729"," 7485.052"," 7165.617"," 6542.054"," 4620.500"," 4589.039"," 4693.887"," 5278.627"," 5250.973"," 5284.136"," 8483.727"," 8134.842"," 8154.313","24591.799","24805.165","24918.635"
"PAratio_T_SD"," 2995.4442"," 2352.8009"," 1487.1966"," 1596.9326"," 1638.7185"," 1147.7761","  786.8166","  558.9470","  403.9424","  415.8744","  401.5685","  440.4755"," 3309.6981"," 7744.1563","  679.5517","47929.1049","24597.4023"," 8670.6006"
"PAratio_T_IQR","2071.0767","1883.2824","1695.1966","1664.5319","1549.1923","1049.1404"," 535.2689"," 466.5450"," 456.2207"," 474.9888"," 493.5532"," 542.0270","1001.5061","1104.3329","1059.0878","7453.2273","7226.2401","4636.8628"
"NP_G_Min","  0"," 41"," 66","  9","126"," 54","  1","  2","  1","133"," 59"," 36"," 34","  8"," 55","  0","  0","  0"
"NP_G_Max","   6999","   4998","   1069","  21478","  13826","   6847","  39572","  72411","  14382","  77857","  11843"," 175256","   7513","   4844","    914","1967627","1835787"," 184046"
"NP_G_Mean"," 1198.2442","  736.7860","  365.1333"," 1942.4072"," 1751.8113","  810.2500","  619.5203"," 1014.8067","  492.0625"," 1514.1069"," 1049.3495"," 1521.2208","  729.4390","  499.2681","  328.0000","45620.7568","22909.1000","10181.7500"
"NP_G_Median"," 969.0"," 541.0"," 287.5","1272.0","1234.0"," 428.5"," 194.0"," 216.0"," 100.0"," 744.0"," 659.0"," 310.0"," 397.5"," 312.0"," 268.0","4563.0","4622.0","2683.5"
"NP_G_SD","   970.6564","   648.6357","   255.3862","  2264.0183","  1778.7906","  1354.1830","  2518.8395","  5287.4153","  2136.7173","  4755.5483","  1275.4527"," 14094.0829","   881.4705","   543.2197","   251.7322","199698.1847","137580.8812"," 26475.9245"
"NP_G_IQR","1039.50"," 514.00"," 243.75","1707.25","1582.50"," 460.50"," 249.00"," 286.00"," 123.75"," 949.25"," 620.00"," 241.75"," 741.00"," 361.25"," 214.00","8509.00","7424.75","5104.50"
"MPA_G_Min","0.0000000000","0.0047287845","0.0084809139","0.0016857143","0.0025782315","0.0019445861","0.0233654899","0.0324460892","0.0298993126","0.0120487581","0.0130059798","0.0113041222","0.0004185585","0.0007772144","0.0270195169","0.0000000000","0.0000000000","0.0000000000"
"MPA_G_Max"," 2.33007013"," 2.50761546"," 0.15436130"," 0.31102334"," 0.20680369"," 0.11185785","14.83519123"," 6.24895680","16.57989034"," 1.94741884"," 1.40542518"," 0.22843709"," 8.99095019"," 8.78600726"," 0.53091767"," 0.01953142"," 0.11241138"," 0.12524669"
"MPA_G_Mean","0.171130271","0.131054031","0.035048492","0.025486038","0.027797848","0.020212515","0.270475143","0.265740952","0.650920492","0.126124135","0.078327409","0.042790874","0.546612969","0.448268111","0.129580743","0.001814524","0.002921799","0.005355789"
"MPA_G_Median","0.052015731","0.042535817","0.026740993","0.017338879","0.022560876","0.012093983","0.129604290","0.121768649","0.140844962","0.056110568","0.048966968","0.034923762","0.191720453","0.129881216","0.080028168","0.001423123","0.001592577","0.001529323"
"MPA_G_SD","0.287636509","0.319705719","0.028906855","0.029717359","0.024047307","0.020984284","0.730203603","0.619604721","2.207397519","0.216756938","0.112444505","0.032055971","0.923491633","0.990342935","0.115783565","0.001673998","0.008469617","0.016729408"
"MPA_G_IQR","0.130335535","0.042829388","0.019005776","0.028044203","0.026697593","0.022218787","0.193360765","0.158370235","0.151951602","0.081161416","0.046565188","0.030977456","0.539872170","0.215515099","0.089890794","0.001108256","0.001306197","0.002368859"
"CV_G_Min","  0.00000","113.27050"," 98.82402"," 63.84327","136.34445","118.89157","  0.00000"," 88.87696","  0.00000","100.58760","112.43894"," 86.88215"," 70.15786"," 79.98097","155.08656","  0.00000","  0.00000","  0.00000"
"CV_G_Max"," 1781.587"," 2262.305"," 1222.619"," 5581.550"," 3663.200"," 2261.978"," 4893.786"," 4982.838"," 2749.117"," 5317.878"," 4356.011"," 5775.868"," 3364.438"," 2789.059"," 1358.414","13036.061","13322.475","10233.011"
"CV_G_Mean"," 613.6628"," 493.6242"," 346.5786"," 571.2441"," 628.7398"," 513.4564"," 582.6860"," 506.2050"," 335.3564"," 726.7775"," 560.6238"," 313.9184"," 772.7038"," 653.4941"," 498.8126","1299.0020","1673.3315","1886.7119"
"CV_G_Median","524.5900","384.2424","280.6361","401.3058","496.2739","434.1832","371.8898","350.4096","237.6040","419.1854","393.5526","227.2148","644.7518","466.8279","397.6599","716.6766","950.4909","708.4967"
"CV_G_SD"," 362.9045"," 317.2788"," 254.3960"," 496.4388"," 439.9502"," 418.2647"," 619.3042"," 546.9630"," 375.5227"," 841.9424"," 505.0409"," 478.1930"," 558.8781"," 488.5282"," 304.3739","1637.9174","2066.3901","2373.3102"
"CV_G_IQR"," 512.0031"," 386.8489"," 143.3475"," 506.0156"," 501.2693"," 386.0418"," 374.3791"," 374.2403"," 167.1456"," 690.4874"," 513.9971"," 163.5371"," 783.0605"," 593.1421"," 336.5740","1264.8232","1826.5021","2430.2110"
"PAratio_G_Min","   0.0000","5843.1347","6726.1755","9861.4060","8709.9272","8675.5981","1465.8056","3342.8706"," 622.1741","4154.1962","4242.9310","4013.6948","5052.0298","5483.5037","6371.3719","   0.0000","   0.0000","   0.0000"
"PAratio_G_Max","  21264.699","  24295.880","  11787.248","  24729.975","  25509.605","  24977.626","  12160.667","  50160.293","  10776.328","  10002.903","   9882.775","   6298.565"," 103416.919","  93522.204","  11049.740","4353409.048"," 243753.089"," 119604.455"
"PAratio_G_Mean"," 9298.971"," 8823.007"," 8063.090","16375.771","14907.256","15931.652"," 4645.831"," 4739.323"," 4318.654"," 5372.920"," 5197.471"," 5193.597"," 8499.421"," 8187.890"," 7747.857","46134.289","31795.787","30369.157"
"PAratio_G_Median"," 8748.651"," 8136.771"," 7935.476","13996.667","13044.001","14266.999"," 4438.772"," 4366.729"," 4287.541"," 5246.942"," 5145.690"," 5217.288"," 7680.833"," 7248.621"," 7306.599","29828.230","29779.001","29978.665"
"PAratio_G_SD","  2445.4760","  2444.9509","  1176.3336","  4769.5712","  4300.9648","  4475.1133","  1061.4394","  3009.0422","  1054.7628","   694.5817","   475.6216","   363.3796","  5176.4566","  5168.7505","  1329.7730","242357.2082"," 21668.0349"," 12876.4486"
"PAratio_G_IQR","3152.6327","2149.2444"," 900.6054","9482.9163","6604.0050","8381.0740"," 821.5336"," 695.8266"," 644.5703"," 585.9774"," 455.9207"," 468.0356","2005.0170","1469.5909","1310.6118","2753.6706","2666.2386","2837.1499"
"Median_Household_Income_Min","32917","25588","14044","31042","21161","14286","    0","    0"," 9879","31042","13438"," 8958","37125","19583","15365","37128","    0","13594"
"Median_Household_Income_Max","200000"," 76495"," 37246","200001"," 77241"," 41719","200001"," 74464"," 38819","200001"," 80613"," 40558","175000"," 79295"," 43618","172837"," 91292"," 42670"
"Median_Household_Income_Mean","69969.75","49304.32","27296.60","73366.71","51486.86","28418.85","77787.29","49291.55","27521.23","69927.28","46505.75","23175.31","72971.38","51691.71","32084.67","72955.23","49055.18","29023.83"
"Median_Household_Income_Median","66985.0","49250.0","27873.5","69589.5","50250.0","28959.0","76144.0","48977.0","28275.5","65167.0","45000.0","23672.0","71094.0","52181.0","33700.0","70556.0","48074.5","29487.5"
"Median_Household_Income_SD","21946.297","10897.999"," 5890.841","23703.172","10791.295"," 6032.731","26290.154","13363.889"," 6354.442","24818.247","12036.088"," 6093.692","20644.425","12727.725"," 7436.486","23776.140","13487.595"," 6268.210"
"Median_Household_Income_IQR","25443.00","15941.00"," 9178.00","30070.00","16837.50"," 6794.50","37324.00","21385.00"," 9480.00","29136.00","18597.00"," 9517.00","26028.75","19817.00","10497.00","29778.00","19280.00"," 8325.75"
"Percent_nonWhite_Min"," 0.5208333"," 0.9722222"," 0.0000000"," 3.5573123"," 2.5354970"," 4.6822742"," 0.0000000"," 0.0000000"," 9.7014925"," 0.5067568"," 0.3968254"," 0.0000000","19.9772985"," 7.2805139"," 9.0909091","44.4543828"," 7.0606293","16.7984190"
"Percent_nonWhite_Max"," 99.84177"," 99.42661"," 96.97909"," 99.85622"," 99.83660"," 99.29279"," 98.26642"," 94.50056"," 85.91065"," 99.46761"," 99.50638"," 99.53092"," 99.65076"," 99.76985"," 99.24925"," 99.39467","100.00000"," 99.82609"
