"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
"MSA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BOS","BOS","BOS","BOS","BOS","BOS","BOS","BOS","BOS","LAX","LAX","LAX","LAX","LAX","LAX","LAX","LAX","LAX","MIA","MIA","MIA","MIA","MIA","MIA","MIA","MIA","MIA","MSP","MSP","MSP","MSP","MSP","MSP","MSP","MSP","MSP","PHX","PHX","PHX","PHX","PHX","PHX","PHX","PHX","PHX"
"Urbanicity_fct","Urban","Urban","Urban","Suburban","Suburban","Suburban","Exurban","Exurban","Exurban","Urban","Urban","Urban","Suburban","Suburban","Suburban","Exurban","Exurban","Exurban","Urban","Urban","Urban","Suburban","Suburban","Suburban","Exurban","Exurban","Exurban","Urban","Urban","Urban","Suburban","Suburban","Suburban","Exurban","Exurban","Exurban","Urban","Urban","Urban","Suburban","Suburban","Suburban","Exurban","Exurban","Exurban","Urban","Urban","Urban","Suburban","Suburban","Suburban","Exurban","Exurban","Exurban"
"Affluence_fct","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low","High","Middle","Low"
"Tree_Min","9.845178e+03","1.618411e+04","2.467293e+04","2.136002e+04","1.404024e+04","1.233200e+04","0.000000e+00","6.434182e+03","3.710549e+06","2.649244e+03","1.622963e+04","1.231989e+04","4.964653e+04","2.285092e+04","2.149307e+04","2.542162e+05","2.225228e+05","2.923742e+05","0.000000e+00","0.000000e+00","7.280000e+02","0.000000e+00","7.440000e+02","7.836000e+03","2.556635e+04","2.874135e+05","3.959282e+05","1.789700e+04","8.404349e+03","4.329059e+03","1.938875e+04","1.369549e+04","2.037903e+04","1.998530e+05","5.361373e+05","3.565671e+08","1.666500e+04","0.000000e+00","5.413847e+03","1.978900e+04","1.634750e+00","7.776523e+04","3.380041e+01","0.000000e+00","5.871712e+04","5.624000e+03","2.481000e+03","1.207000e+03","0.000000e+00","2.756668e-01","7.720153e+03","0.000000e+00","0.000000e+00","0.000000e+00"
"Tree_Max","   514132.93","   210340.83","   232932.48"," 10917422.55","  6705191.84","   789274.65"," 35856862.09"," 39205317.46","  3710548.99","   647093.94","   356224.92","    79723.08","  9710759.50","  8923039.78","  1595781.37"," 68299436.94"," 55601598.36"," 11673888.30","   609900.16","   175366.49","    88767.55","  4306630.14","  7452421.42","   188840.00"," 50087384.37"," 19867366.79","  1462380.11","   739124.43","   873687.98","   266041.06","  9267395.25"," 14225030.24","  2353242.38","195666915.08"," 32325642.70","356567090.77","   255427.25","   218108.58","    78524.82","  3214182.69","  6015094.54","   625348.62"," 49819920.39"," 31438854.09","  1432198.34","   421033.82","   306375.00","   104373.80","  2626320.54","  1119958.02","   296717.99","  5129300.24","  2784869.56","  1204075.91"
"Tree_Mean","   138263.73","   107824.72","    89865.01","  1243329.13","   640489.81","   310735.53","  6956238.83","  6255051.65","  3710548.99","    89016.71","    91387.77","    35016.86","   972359.08","   815638.84","   267941.50","  7078052.80","  7118821.39","  2418029.37","    41978.60","    20365.50","    15083.22","   168723.07","   186173.88","    71527.17","  3643960.53","  3812588.39","   929154.16","   168731.11","   140448.56","    66818.53","   912862.58","   499281.04","   265388.51","  8890179.57","  7884049.93","356567090.77","    78100.41","    63000.69","    42574.71","   579024.45","   361827.83","   203645.04","  5639242.63","  6371443.10","   599089.06","    90944.26","    43359.62","    25711.79","   180337.42","   151840.35","    96838.68","   817666.86","   394513.51","   308343.31"
"Tree_Median","1.137346e+05","1.007510e+05","8.795948e+04","8.678309e+05","3.587331e+05","3.446871e+05","5.602440e+06","4.271001e+06","3.710549e+06","6.514176e+04","4.957440e+04","2.574280e+04","4.807076e+05","4.377501e+05","8.939652e+04","4.636968e+06","3.557591e+06","1.689401e+06","2.808000e+04","9.552000e+03","8.917518e+03","8.102382e+04","6.919218e+04","5.841054e+04","1.131013e+06","8.653212e+05","9.291542e+05","1.368783e+05","1.000674e+05","5.369494e+04","4.490308e+05","2.562637e+05","1.191088e+05","2.103712e+06","5.666393e+06","3.565671e+08","7.327867e+04","5.704348e+04","4.227062e+04","4.563985e+05","2.271563e+05","1.229267e+05","3.397384e+06","2.985242e+06","3.845533e+05","6.603410e+04","3.383100e+04","1.981700e+04","1.098636e+05","1.000811e+05","6.584925e+04","4.297402e+05","1.823973e+05","1.758460e+05"
"Tree_SD","   89240.00","   51297.49","   51038.35"," 1331672.83","  796038.35","  267617.44"," 6236293.32"," 7158079.90",NA,"   84137.00","   86644.53","   19649.27"," 1323453.34"," 1108647.81","  400939.35"," 8799876.99"," 9178621.27"," 3267630.73","   58429.07","   30373.05","   17124.43","  317527.29","  570693.05","   47343.94"," 8338780.86"," 6503522.79","  754095.38","  131807.54","  125665.50","   46314.08"," 1408463.36"," 1176687.14","  454016.20","31405501.05"," 9059926.76",NA,"   38160.94","   40817.32","   30054.02","  506901.22","  474430.02","  194552.82"," 7289640.66"," 7589485.52","  541163.08","   85597.82","   42764.31","   22957.89","  262936.94","  164134.33","   74670.57"," 1161051.73","  567730.30","  354987.18"
"Tree_IQR","  90991.57","  79301.64","  63931.65"," 958671.86"," 647528.58"," 326347.21","6524723.20","4381668.17","      0.00","  70333.34","  88343.84","  28910.31"," 984718.70"," 825204.49"," 203735.20","6636941.46","5932563.34","2098163.90","  41927.26","  20323.80","  16331.58"," 125984.33"," 133157.29","  65482.03","2290232.39","2569094.67"," 533225.96"," 150798.61"," 122645.14","  47527.64"," 797437.04"," 322153.30"," 226794.88","3321675.34","3083245.17","      0.00","  45286.34","  39305.87","  49911.79"," 481892.36"," 268043.54","  90822.85","5085307.19","7821592.06"," 669385.17","  85965.37","  39086.00","  19171.61"," 152970.12"," 146005.86","  88786.50"," 931977.66"," 455663.47"," 161610.40"
"Grass_Min","2.410000e+03","2.393471e+04","1.450236e+04","3.558744e+04","2.165378e+04","8.888000e+03","0.000000e+00","1.938802e+03","1.308984e+06","1.890000e+02","7.279674e+03","2.481000e+03","1.698600e+04","9.500000e+03","5.171000e+03","6.133289e+04","1.579223e+05","1.606559e+05","3.110380e+04","1.816981e+04","2.004800e+04","8.224025e+03","2.983043e+04","4.980902e+04","9.183154e+04","1.329220e+06","4.097653e+07","1.829439e+04","1.815423e+04","1.209541e+04","6.196347e+04","6.403649e+04","2.703089e+04","5.252790e+05","1.632427e+06","1.595815e+08","3.368633e+04","6.217715e+01","3.190162e+04","1.161797e+05","3.411165e+02","1.276297e+05","1.423099e+02","3.136281e+05","2.434822e+05","6.828000e+03","4.625000e+03","1.189000e+03","0.000000e+00","6.858759e-01","6.218000e+03","0.000000e+00","0.000000e+00","0.000000e+00"
