"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"MSA","BAL","BAL","BAL","BOS","BOS","BOS","LAX","LAX","LAX","MIA","MIA","MIA","MSP","MSP","MSP","PHX","PHX","PHX"
"Urbanicity_fct","Urban","Suburban","Exurban","Urban","Suburban","Exurban","Urban","Suburban","Exurban","Urban","Suburban","Exurban","Urban","Suburban","Exurban","Urban","Suburban","Exurban"
"Tree_Min","  9845.17850"," 12332.00448","     0.00000","  2649.24431"," 21493.06666","222522.76774","     0.00000","     0.00000"," 25566.35469","  4329.05880"," 13695.49026","199853.02016","     0.00000","     1.63475","     0.00000","  1207.00000","     0.00000","     0.00000"
"Tree_Max","   514132.9"," 10917422.5"," 39205317.5","   647093.9","  9710759.5"," 68299436.9","   609900.2","  7452421.4"," 50087384.4","   873688.0"," 14225030.2","356567090.8","   255427.3","  6015094.5"," 49819920.4","   421033.8","  2626320.5","  5129300.2"
"Tree_Mean","  124988.73","  942614.45"," 6817945.49","   84046.38","  875009.45"," 6897453.03","   35136.11","  171159.45"," 3603992.00","  124884.07","  603546.74","15780294.16","   72222.48","  434353.19"," 5732705.18","   68893.29","  157909.57","  609262.67"
"Tree_Median"," 107654.94"," 568019.34","4829857.05","  59783.40"," 439905.77","3858354.69","  20661.46","  76616.02","1117082.40","  85742.95"," 291237.22","3284123.27","  64732.81"," 282643.32","3246902.51","  42662.00"," 101663.00"," 266310.65"
"Tree_SD","   79581.69"," 1141349.30"," 6382665.53","   81823.71"," 1212179.14"," 8786781.99","   52304.82","  417370.06"," 7939530.27","  115871.41"," 1227045.70","56971336.20","   39657.87","  493679.69"," 7328645.83","   74022.15","  202130.61","  939719.15"
"Tree_IQR","  84106.60"," 897318.88","6430699.94","  68630.01"," 843578.02","6630048.44","  36591.26"," 125102.74","2313056.61"," 114174.70"," 440491.68","4806643.29","  45776.88"," 389068.56","5956109.84","  65672.64"," 145576.35"," 588920.40"
"Grass_Min","  2410.00000","  8888.00000","     0.00000","   189.00000","  5171.00000"," 61332.88785"," 18169.80995","  8224.02518"," 91831.53868"," 12095.41072"," 27030.89226","525279.02385","    62.17715","   341.11646","   142.30988","  1189.00000","     0.00000","     0.00000"
"Grass_Max","   1100132.1","   3633089.7","  97860374.8","    422687.3","   3231806.9","  13191042.4","    863574.9","  35379009.5"," 324507239.4","   1645063.3","  22830327.6","1516201887.0","    457633.4","  23514523.9"," 192945791.1","    700975.0","   8325142.9","  22235824.9"
"Grass_Mean","   93410.17","  476354.46"," 7952106.72","   42852.10","  305972.32"," 1783671.15","  161694.88","  648583.22","23369642.27","  214598.65","  910030.71","50078061.63","  113163.15","  895541.58","19870447.70","   63080.33","  242581.58"," 3526308.45"
"Grass_Median","  76632.38"," 285811.12","4816986.48","  30364.00"," 186955.40","1053613.15"," 131540.16"," 272409.20","9287028.15"," 139168.24"," 434012.29","9233882.28","  98858.18"," 489061.05","9328325.46","  41457.80","  91634.00","1680189.11"
"Grass_SD","   102454.96","   532499.94"," 11918972.76","    47988.48","   357456.30","  2004415.81","   109801.09","  1820640.63"," 46646113.17","   232263.11","  1561922.49","216338499.36","    62443.80","  1463387.52"," 25864275.56","    80083.29","   609145.53","  4675152.56"
"Grass_IQR","   50418.08","  421847.96"," 8390307.69","   37347.75","  306540.62"," 1725270.53","  110448.01","  378553.57","22690157.48","  189159.59","  773578.12","18483143.31","   61174.99","  720213.64","23226598.81","   51282.01","  173313.28"," 3921249.48"
"Perc_Tree_Min","7.433240e+00","5.718670e+00","0.000000e+00","4.641772e+00","6.315091e+00","2.220341e+01","0.000000e+00","0.000000e+00","1.932320e-01","2.419487e+00","1.902990e+00","4.095175e+00","0.000000e+00","4.975380e-05","0.000000e+00","7.304927e-01","0.000000e+00","0.000000e+00"
"Perc_Tree_Max","63.88135","85.89751","87.66375","66.86352","87.35356","90.21619","35.74124","40.51577","28.36013","53.42294","73.54382","44.72717","44.25673","56.69117","44.44097","23.80464","27.84917","24.03437"
"Perc_Tree_Mean","34.363352","45.692038","46.039354","29.929343","48.783009","64.778412"," 7.572711","11.183292"," 8.151659","16.841697","19.957079","18.699463","21.563863","24.320475","20.579800"," 9.048228","10.771786"," 4.606758"
"Perc_Tree_Median","34.395910","45.372508","47.715317","28.352551","49.259507","66.567870"," 6.245327"," 9.926341"," 6.985821","14.989481","18.096235","18.057382","21.821284","23.946011","20.479617"," 8.067285","10.007693"," 2.855316"
"Perc_Tree_SD"," 9.984533","14.988966","16.650079","11.391423","13.912509","11.735570"," 6.391192"," 7.223476"," 5.837514"," 9.111656","10.781274"," 8.443614"," 6.492669","11.080703"," 9.678332"," 5.343434"," 6.022826"," 5.056587"
"Perc_Tree_IQR","12.505381","21.328113","23.713899","16.013603","19.600044","16.586131"," 8.378086","10.162032"," 5.196078","11.787757","14.822149","11.357239"," 8.748149","14.142611","14.892288"," 8.134603"," 8.152681"," 6.942245"
"Perc_Grass_Min"," 2.266884476"," 4.761742434"," 0.000000000"," 0.620428198"," 4.087187692"," 4.626177658","13.111114630"," 4.855612616"," 7.841905859"," 5.877533881"," 5.829220747"," 6.728986860"," 0.027901158"," 0.010381918"," 0.001616716"," 0.719598845"," 0.000000000"," 0.000000000"
"Perc_Grass_Max","55.83758","57.02799","77.87613","38.99117","73.48864","56.89865","90.16731","86.44298","72.20379","51.36063","62.59338","72.90011","57.91637","79.85764","90.22484","52.68788","62.41474","57.37899"
"Perc_Grass_Mean","24.167209","25.023160","41.835448","14.414596","19.865741","18.833046","39.835400","39.121580","49.443836","25.212783","31.163114","51.921677","33.551372","41.511712","58.767030"," 8.471028","11.155764","18.144612"
"Perc_Grass_Median","23.917008","24.401201","39.924779","13.639984","18.966767","17.353774","38.522762","38.639539","52.404572","23.783028","30.388799","53.588372","33.315834","40.424234","59.955091"," 7.180975"," 9.670411","16.457952"
